run,dims,act,loss,depth,n_ep,best_ep,conv,test_utt_um,test_p95_um,min_utt_um,final_utt_um,speed_ns,speed_wts,train_min
scanA_d2_tanh,64x64,tanh,residual_rel,2,120,94,yes,3299.6826171875,39160.980224609375,3261.566162109375,3296.5087890625,0.319487988948822,real,76.2
scanA_d2_silu,64x64,silu,residual_rel,2,120,107,yes,3881.7138671875,48933.32290649414,3848.419189453125,3890.8748626708984,0.3819519877433777,real,73.7
scanA_d2_gelu,64x64,gelu,residual_rel,2,120,107,yes,3525.146484375,41604.03823852539,3513.2293701171875,3574.27978515625,0.4166400134563446,real,89.5
scanA_d2_sin,64x64,sin,residual_rel,2,120,107,yes,3157.71484375,33156.35681152344,3119.7662353515625,3153.6788940429688,0.5171200037002563,real,90.3
scanA_d3_tanh,64x64x64,tanh,residual_rel,3,120,90,yes,3027.4658203125,32852.14614868164,2986.8011474609375,3074.6917724609375,0.8554560244083405,placeholder,65.7
scanA_d3_silu,64x64x64,silu,residual_rel,3,120,93,yes,3145.01953125,34435.9245300293,3122.6348876953125,3193.0389404296875,1.1202560067176819,placeholder,58.3
scanA_d3_gelu,64x64x64,gelu,residual_rel,3,120,108,yes,3091.4306640625,31572.586059570312,3084.381103515625,3154.4036865234375,0.9921280145645142,placeholder,58.7
scanA_d3_sin,64x64x64,sin,residual_rel,3,62,22,creeping,4005.2490234375,52468.482971191406,4046.966552734375,4146.148681640625,0.8949920237064362,placeholder,27.0
scanB_alpha05,96x96,tanh,residual_rel,2,80,40,yes,254494.0185546875,1966056.7626953125,254383.60595703125,254515.44189453125,0.9349120259284973,arch-proxy(h96),31.5
scanB_delta2,96x96,tanh,residual_rel,2,120,105,yes,3170.2880859375,35865.94772338867,3118.7744140625,3210.8154296875,0.9349120259284973,arch-proxy(h96),48.1
scanB_invp,96x96,tanh,residual_rel,2,120,119,yes,3544.43359375,38880.17272949219,3523.101806640625,3561.9735717773438,0.9349120259284973,arch-proxy(h96),45.7
scanB_logcosh,96x96,tanh,log_cosh,2,120,92,yes,4148.3154296875,50435.394287109375,4085.9527587890625,4505.401611328125,0.9349120259284973,arch-proxy(h96),48.1
